Head north, continue for 147.1 meters and taking about 105.9 seconds.
Turn slight right, continue for 1.5 meters and taking about 1.1 seconds.
Turn right, continue for 11.3 meters and taking about 8.1 seconds.
Turn left, continue for 17.2 meters and taking about 12.4 seconds.
Turn right, continue for 72.2 meters and taking about 52.0 seconds.
Keep left, continue for 72.1 meters and taking about 51.9 seconds.
Turn left, continue for 56.7 meters and taking about 40.8 seconds.
Turn right, continue for 3.6 meters and taking about 2.6 seconds.
Turn left onto Sheridan Avenue on Sheridan Avenue, continue for 101.7 meters and taking about 73.2 seconds.
Turn right, continue for 2.7 meters and taking about 1.9 seconds.
Turn left, continue for 138.9 meters and taking about 100.0 seconds.
Turn right, continue for 33.6 meters and taking about 24.2 seconds.
Turn left, continue for 41.7 meters and taking about 30.0 seconds.
Turn left onto Awde Street on Awde Street, continue for 62.6 meters and taking about 45.1 seconds.
Turn right onto Fisher Street on Fisher Street, continue for 42.0 meters and taking about 30.3 seconds.
Turn left, continue for 100.5 meters and taking about 72.3 seconds.
Turn right, continue for 40.7 meters and taking about 29.3 seconds.
Turn slight left, continue for 79.9 meters and taking about 57.5 seconds.
Turn right, continue for 123.9 meters and taking about 89.2 seconds.
Turn left, continue for 15.5 meters and taking about 11.2 seconds.
Turn right, continue for 12.0 meters and taking about 8.7 seconds.
Turn left, continue for 107.6 meters and taking about 77.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
