Head north, continue for 29.7 meters and taking about 21.4 seconds.
Turn right, continue for 28.3 meters and taking about 20.4 seconds.
Turn left, continue for 33.0 meters and taking about 23.8 seconds.
Turn left, continue for 70.1 meters and taking about 50.5 seconds.
Turn left, continue for 112.9 meters and taking about 81.3 seconds.
Turn left, continue for 77.7 meters and taking about 55.9 seconds.
Turn left, continue for 19.0 meters and taking about 13.7 seconds.
Turn right, continue for 18.3 meters and taking about 13.2 seconds.
Turn right, continue for 18.1 meters and taking about 13.0 seconds.
Turn left, continue for 487.6 meters and taking about 351.1 seconds.
Turn right, continue for 3.0 meters and taking about 2.2 seconds.
Turn sharp left, continue for 17.5 meters and taking about 12.6 seconds.
Turn sharp right, continue for 79.5 meters and taking about 57.2 seconds.
Turn left, continue for 7.8 meters and taking about 5.6 seconds.
Turn right, continue for 35.7 meters and taking about 25.7 seconds.
Keep left, continue for 56.1 meters and taking about 40.4 seconds.
Keep right, continue for 265.4 meters and taking about 191.1 seconds.
Turn right, continue for 2.4 meters and taking about 1.8 seconds.
Keep left, continue for 65.8 meters and taking about 47.4 seconds.
Turn right onto Sussex Mews on Sussex Mews, continue for 4.2 meters and taking about 3.0 seconds.
Turn left onto Sussex Avenue on Sussex Avenue, continue for 345.9 meters and taking about 249.1 seconds.
Turn right onto Borden Street on Borden Street, continue for 21.3 meters and taking about 15.3 seconds.
Turn left, continue for 3.9 meters and taking about 2.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
