Head west, continue for 13.5 meters and taking about 9.7 seconds.
Keep right, continue for 17.5 meters and taking about 12.6 seconds.
Turn left, continue for 12.9 meters and taking about 9.3 seconds.
Keep left, continue for 63.3 meters and taking about 45.6 seconds.
Turn slight right, continue for 3.6 meters and taking about 2.6 seconds.
Keep left, continue for 21.7 meters and taking about 15.6 seconds.
Turn left, continue for 2.6 meters and taking about 1.9 seconds.
Turn right, continue for 279.8 meters and taking about 201.5 seconds.
Turn left, continue for 1217.3 meters and taking about 876.4 seconds.
Keep left, continue for 169.4 meters and taking about 122.0 seconds.
Turn left, continue for 17.8 meters and taking about 12.8 seconds.
Turn right, continue for 18.1 meters and taking about 13.0 seconds.
Turn left, continue for 65.9 meters and taking about 47.4 seconds.
Turn right onto Colborne Street on Colborne Street, continue for 31.0 meters and taking about 22.3 seconds.
Arrive at Colborne Street, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
