Head west, continue for 13.2 meters and taking about 9.5 seconds.
Turn sharp left, continue for 79.8 meters and taking about 57.5 seconds.
Turn right, continue for 198.3 meters and taking about 142.8 seconds.
Turn left, continue for 25.3 meters and taking about 18.2 seconds.
Turn right, continue for 82.0 meters and taking about 59.1 seconds.
Turn slight left, continue for 21.8 meters and taking about 15.7 seconds.
Turn right, continue for 5.6 meters and taking about 4.0 seconds.
Turn left, continue for 15.5 meters and taking about 11.1 seconds.
Continue straight, continue for 15.4 meters and taking about 11.1 seconds.
Turn right, continue for 203.2 meters and taking about 146.3 seconds.
Keep left, continue for 198.4 meters and taking about 142.8 seconds.
Turn sharp left, continue for 24.1 meters and taking about 17.4 seconds.
Turn right, continue for 24.4 meters and taking about 17.6 seconds.
Turn sharp left, continue for 211.3 meters and taking about 152.1 seconds.
Keep right, continue for 50.0 meters and taking about 36.0 seconds.
Keep left, continue for 6.5 meters and taking about 4.7 seconds.
Turn right, continue for 56.3 meters and taking about 40.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
