Head north, continue for 10.4 meters and taking about 7.5 seconds.
Turn left onto Martin Goodman Trail on Martin Goodman Trail, continue for 3.1 meters and taking about 2.2 seconds.
Turn right, continue for 39.5 meters and taking about 28.5 seconds.
Turn right, continue for 20.8 meters and taking about 15.0 seconds.
Turn left, continue for 70.2 meters and taking about 50.5 seconds.
Turn left, continue for 149.4 meters and taking about 107.6 seconds.
Keep left, continue for 36.6 meters and taking about 26.3 seconds.
Turn left, continue for 25.1 meters and taking about 18.1 seconds.
Turn left, continue for 163.9 meters and taking about 118.0 seconds.
Keep left, continue for 317.1 meters and taking about 228.3 seconds.
Turn right, continue for 6.8 meters and taking about 4.9 seconds.
Turn left, continue for 62.6 meters and taking about 45.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
