Head southwest, continue for 3.8 meters and taking about 2.7 seconds.
Turn slight left, continue for 13.9 meters and taking about 10.0 seconds.
Turn right, continue for 35.4 meters and taking about 25.5 seconds.
Turn left onto Glen Manor Drive West on Glen Manor Drive West, continue for 239.2 meters and taking about 172.2 seconds.
Turn right onto Hammersmith Avenue on Hammersmith Avenue, continue for 189.5 meters and taking about 136.4 seconds.
Turn right, continue for 6.3 meters and taking about 4.5 seconds.
Turn left, continue for 14.3 meters and taking about 10.3 seconds.
Turn right, continue for 82.5 meters and taking about 59.4 seconds.
Turn slight left, continue for 54.1 meters and taking about 39.0 seconds.
Turn right onto Douglas Browne Lane on Douglas Browne Lane, continue for 3.7 meters and taking about 2.7 seconds.
Turn left onto Wineva Avenue on Wineva Avenue, continue for 5.1 meters and taking about 3.6 seconds.
Turn right, continue for 5.9 meters and taking about 4.2 seconds.
Turn left, continue for 44.6 meters and taking about 32.1 seconds.
Turn right, continue for 174.3 meters and taking about 125.5 seconds.
Turn left, continue for 11.5 meters and taking about 8.3 seconds.
Turn slight left, continue for 143.7 meters and taking about 103.5 seconds.
Turn right, continue for 0.9 meters and taking about 0.7 seconds.
Turn left, continue for 403.5 meters and taking about 290.5 seconds.
Keep left, continue for 192.7 meters and taking about 138.7 seconds.
Turn right, continue for 36.5 meters and taking about 26.3 seconds.
Turn left, continue for 131.3 meters and taking about 94.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
