Head south, continue for 95.8 meters and taking about 69.0 seconds.
Turn sharp left, continue for 19.9 meters and taking about 14.3 seconds.
Turn right, continue for 102.1 meters and taking about 73.5 seconds.
Turn right, continue for 2.8 meters and taking about 2.0 seconds.
Turn left, continue for 126.8 meters and taking about 91.3 seconds.
Keep right, continue for 387.5 meters and taking about 279.0 seconds.
Keep right, continue for 345.8 meters and taking about 248.9 seconds.
Turn left, continue for 4.8 meters and taking about 3.4 seconds.
Turn right, continue for 26.6 meters and taking about 19.1 seconds.
Turn left, continue for 20.8 meters and taking about 15.0 seconds.
Turn right, continue for 88.7 meters and taking about 63.8 seconds.
Turn right, continue for 5.1 meters and taking about 3.7 seconds.
Turn left, continue for 4.8 meters and taking about 3.5 seconds.
Turn right onto Queens Wharf Road on Queens Wharf Road, continue for 50.1 meters and taking about 36.1 seconds.
Turn left, continue for 7.4 meters and taking about 5.3 seconds.
Turn slight right, continue for 94.1 meters and taking about 67.7 seconds.
Turn sharp right, continue for 123.6 meters and taking about 89.0 seconds.
Turn left, continue for 2.8 meters and taking about 2.0 seconds.
Turn slight right, continue for 83.8 meters and taking about 60.3 seconds.
Turn left, continue for 115.7 meters and taking about 83.3 seconds.
Keep right, continue for 62.2 meters and taking about 44.7 seconds.
Keep right, continue for 38.6 meters and taking about 27.8 seconds.
Keep left, continue for 43.8 meters and taking about 31.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
