Head west, continue for 4.9 meters and taking about 3.5 seconds.
Turn left, continue for 109.9 meters and taking about 79.1 seconds.
Turn left, continue for 6.7 meters and taking about 4.8 seconds.
Turn right onto Brandon Avenue on Brandon Avenue, continue for 18.2 meters and taking about 13.1 seconds.
Turn left, continue for 231.3 meters and taking about 166.6 seconds.
Turn right, continue for 341.6 meters and taking about 245.9 seconds.
Turn left, continue for 15.1 meters and taking about 10.9 seconds.
Turn right, continue for 58.0 meters and taking about 41.8 seconds.
Turn slight right, continue for 83.7 meters and taking about 60.3 seconds.
Keep right, continue for 148.2 meters and taking about 106.7 seconds.
Keep left, continue for 40.3 meters and taking about 29.0 seconds.
Turn right, continue for 3.7 meters and taking about 2.6 seconds.
Turn left onto Franklin Avenue on Franklin Avenue, continue for 9.4 meters and taking about 6.8 seconds.
Turn right, continue for 112.1 meters and taking about 80.7 seconds.
Turn left onto Edwin Avenue on Edwin Avenue, continue for 7.6 meters and taking about 5.5 seconds.
Turn right, continue for 3.5 meters and taking about 2.5 seconds.
Turn left, continue for 49.8 meters and taking about 35.9 seconds.
Turn right, continue for 37.3 meters and taking about 26.9 seconds.
Turn left, continue for 5.4 meters and taking about 3.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
