Head south, continue for 12.2 meters and taking about 8.8 seconds.
Turn right, continue for 203.7 meters and taking about 146.6 seconds.
Turn right, continue for 114.8 meters and taking about 82.7 seconds.
Turn right, continue for 164.8 meters and taking about 118.6 seconds.
Turn left onto Huron Street on Huron Street, continue for 17.4 meters and taking about 12.5 seconds.
Turn right, continue for 8.4 meters and taking about 6.1 seconds.
Turn left, continue for 295.7 meters and taking about 212.9 seconds.
Turn right, continue for 38.2 meters and taking about 27.5 seconds.
Turn left onto Gwen Egan Lane on Gwen Egan Lane, continue for 4.3 meters and taking about 3.1 seconds.
Turn right onto Bernard Avenue on Bernard Avenue, continue for 43.9 meters and taking about 31.6 seconds.
Turn left, continue for 5.3 meters and taking about 3.8 seconds.
Turn right, continue for 7.1 meters and taking about 5.1 seconds.
Turn left onto Madison Avenue on Madison Avenue, continue for 358.1 meters and taking about 257.8 seconds.
Turn right, continue for 8.4 meters and taking about 6.1 seconds.
Turn left, continue for 9.6 meters and taking about 6.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
