Head east, continue for 11.8 meters and taking about 8.5 seconds.
Turn left, continue for 42.7 meters and taking about 30.8 seconds.
Turn slight left, continue for 29.2 meters and taking about 21.0 seconds.
Turn left, continue for 47.6 meters and taking about 34.3 seconds.
Turn right, continue for 38.1 meters and taking about 27.4 seconds.
Turn right, continue for 16.0 meters and taking about 11.5 seconds.
Turn right, continue for 56.4 meters and taking about 40.6 seconds.
Turn right, continue for 462.0 meters and taking about 332.6 seconds.
Turn left, continue for 14.2 meters and taking about 10.2 seconds.
Keep right, continue for 19.5 meters and taking about 14.0 seconds.
Turn right, continue for 93.9 meters and taking about 67.6 seconds.
Turn left onto Humber River Trail on Humber River Trail, continue for 230.3 meters and taking about 165.8 seconds.
Turn sharp left, continue for 55.4 meters and taking about 39.9 seconds.
Turn sharp right, continue for 17.2 meters and taking about 12.4 seconds.
Keep right, continue for 212.2 meters and taking about 152.8 seconds.
Turn left, continue for 77.1 meters and taking about 55.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
