Head south, continue for 68.9 meters and taking about 49.6 seconds.
Turn right, continue for 16.2 meters and taking about 11.6 seconds.
Turn slight right, continue for 300.3 meters and taking about 216.2 seconds.
Turn right, continue for 6.6 meters and taking about 4.8 seconds.
Turn left onto Sammon Avenue on Sammon Avenue, continue for 37.1 meters and taking about 26.7 seconds.
Turn right, continue for 76.3 meters and taking about 54.9 seconds.
Keep left, continue for 96.5 meters and taking about 69.5 seconds.
Turn slight left, continue for 357.8 meters and taking about 257.6 seconds.
Keep left, continue for 89.0 meters and taking about 64.1 seconds.
Turn right, continue for 4.3 meters and taking about 3.1 seconds.
Turn left, continue for 21.5 meters and taking about 15.5 seconds.
Turn left, continue for 4.9 meters and taking about 3.5 seconds.
Turn right, continue for 388.7 meters and taking about 279.9 seconds.
Keep left, continue for 17.8 meters and taking about 12.8 seconds.
Turn left, continue for 15.1 meters and taking about 10.9 seconds.
Turn right, continue for 212.7 meters and taking about 153.1 seconds.
Turn left, continue for 18.7 meters and taking about 13.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
